Rank,Word,Frequency
1,the,9905
2,of,6985
3,and,5135
4,to,4421
5,in,2748
6,a,2185
7,our,2056
8,that,1722
9,we,1624
10,be,1459
11,is,1415
12,it,1362
13,for,1154
14,by,1066
15,which,1001
16,have,996
17,with,936
18,as,931
19,not,924
20,will,851
21,i,831
22,this,812
23,all,792
24,are,779
25,their,738
26,but,627
27,has,611
28,its,565
29,government,557
30,people,553
31,from,551
32,or,541
33,on,519
34,my,491
35,been,482
36,can,463
37,us,455
38,no,453
39,they,440
40,an,380
41,so,379
42,upon,369
43,who,361
44,must,346
45,at,341
46,may,334
47,great,331
48,states,329
49,them,327
50,should,323
51,those,315
52,shall,314
53,more,307
54,world,302
55,country,288
56,if,285
57,every,284
58,nation,281
59,these,278
60,any,276
61,was,268
62,other,253
63,there,251
64,peace,250
65,own,245
66,one,238
67,only,238
68,new,235
69,than,234
70,power,230
71,public,223
72,do,221
73,such,218
74,nations,213
75,now,212
76,would,209
77,his,208
78,constitution,205
79,time,204
80,when,203
81,citizens,199
82,united,197
83,under,197
84,me,186
85,union,184
86,free,179
87,you,178
88,freedom,178
89,most,172
90,war,170
91,what,165
92,america,160
93,national,153
94,made,151
95,let,149
96,american,146
97,good,143
98,were,139
99,spirit,138
100,without,138
101,rights,136
102,men,135
103,justice,134
104,years,134
105,make,133
106,life,132
107,laws,130
108,had,130
109,congress,128
110,before,126
111,law,126
112,into,123
113,never,121
114,best,120
115,each,119
116,just,117
117,duty,116
118,well,115
119,hope,115
120,liberty,115
121,right,113
122,work,113
123,against,112
124,interests,112
125,your,112
126,because,110
127,he,110
128,state,109
129,some,107
130,among,107
131,political,106
132,both,106
133,through,103
134,many,101
135,foreign,101
136,powers,101
137,fellow,101
138,know,100
139,much,99
140,policy,97
141,executive,97
142,history,96
143,part,95
144,between,95
145,first,94
146,today,94
147,progress,93
148,long,93
149,human,93
150,principles,93
151,out,92
152,within,92
153,duties,92
154,whole,90
155,system,89
156,administration,89
157,future,89
158,support,87
159,man,86
160,confidence,86
161,common,86
162,nor,86
163,over,86
164,faith,86
165,less,85
166,too,85
167,present,84
168,purpose,84
169,same,83
170,necessary,82
171,yet,81
172,service,81
173,god,81
174,president,81
175,far,79
176,force,79
177,then,79
178,ourselves,78
179,others,78
180,party,78
181,high,77
182,day,77
183,ever,77
184,way,77
185,institutions,76
186,while,76
187,old,75
188,still,75
189,general,75
190,come,75
191,better,75
192,always,75
193,here,74
194,interest,74
195,need,73
196,office,73
197,together,72
198,federal,71
199,itself,71
200,equal,71
201,strength,71
202,means,70
203,place,70
204,believe,70
205,land,69
206,could,69
207,themselves,69
208,prosperity,68
209,home,68
210,even,68
211,where,68
212,might,68
213,things,67
214,give,67
215,secure,67
216,americans,66
217,change,66
218,whose,66
219,action,66
220,find,66
221,order,66
222,am,65
223,republic,65
224,full,65
225,proper,64
226,commerce,63
227,take,63
228,up,63
229,business,63
230,important,63
231,given,63
232,responsibility,62
233,security,62
234,subject,62
235,being,62
236,found,61
237,revenue,61
238,again,61
239,since,60
240,ought,60
241,TRUE,60
242,trust,60
243,see,60
244,question,59
245,seek,59
246,respect,59
247,honor,59
248,toward,59
249,called,58
250,century,58
251,principle,58
252,earth,58
253,character,58
254,governments,57
255,like,57
256,influence,57
257,cause,57
258,beyond,57
259,another,56
260,become,56
261,stand,56
262,democracy,56
263,done,56
264,very,55
265,protection,55
266,course,55
267,however,54
268,authority,54
269,help,54
270,strong,53
271,also,53
272,civil,53
273,use,53
274,greater,53
275,live,53
276,countrymen,53
277,constitutional,53
278,citizen,52
279,experience,52
280,economy,52
281,sense,52
282,meet,52
283,past,52
284,resources,51
285,nothing,50
286,love,50
287,individual,50
288,trade,50
289,act,50
290,continue,50
291,times,50
292,domestic,49
293,opinion,49
294,oath,49
295,cannot,49
296,control,49
297,hand,49
298,peoples,48
299,defense,48
300,happiness,48
301,condition,48
302,purposes,48
303,go,47
304,opportunity,47
305,him,47
306,relations,47
307,whether,47
308,regard,46
309,labor,46
310,end,46
311,therefore,46
312,economic,46
313,preserve,46
314,having,46
315,maintain,46
316,alone,45
317,lives,45
318,promise,45
319,did,45
320,success,45
321,moral,45
322,effort,45
323,her,44
324,wisdom,44
325,children,44
326,importance,44
327,hands,44
328,does,44
329,ask,44
330,independence,44
331,last,44
332,form,43
333,look,43
334,parties,43
335,either,43
336,desire,43
337,circumstances,42
338,legislation,42
339,measures,42
340,two,42
341,local,42
342,mind,42
343,exercise,41
344,race,41
345,welfare,41
346,fear,41
347,affairs,41
348,how,41
349,blessings,40
350,say,40
351,aid,40
352,task,40
353,taken,40
354,after,40
355,increase,40
356,mankind,40
357,once,40
358,ago,40
359,danger,40
360,safety,39
361,knowledge,39
362,care,39
363,essential,39
364,thought,39
365,possible,39
366,about,39
367,favor,39
368,fellowcitizens,39
369,greatest,39
370,whom,39
371,until,38
372,passed,38
373,body,38
374,call,38
375,territory,38
376,period,38
377,bring,38
378,throughout,38
379,civilization,38
380,highest,38
381,limits,37
382,effect,37
383,questions,37
384,occasion,37
385,heart,37
386,hopes,37
387,protect,37
388,example,37
389,hold,37
390,reason,37
391,millions,37
392,efforts,37
393,fair,37
394,object,36
395,society,36
396,faithful,36
397,generation,36
398,large,36
399,judgment,36
400,share,36
401,nature,36
402,making,36
403,certain,35
404,international,35
405,necessity,35
406,sufficient,35
407,revolution,35
408,view,35
409,friends,35
410,money,35
411,further,35
412,courage,35
413,already,35
414,permanent,34
415,population,34
416,existence,34
417,countries,34
418,problems,34
419,little,34
420,conditions,34
421,thus,34
422,abroad,34
423,attention,34
424,chief,34
425,require,34
426,promote,34
427,moment,34
428,pledge,34
429,patriotism,33
430,rule,33
431,community,33
432,produce,33
433,instrument,33
434,members,33
435,wealth,33
436,social,33
437,solemn,33
438,myself,33
439,result,33
440,south,32
441,none,32
442,expect,32
443,words,32
444,face,32
445,forward,32
446,military,32
447,speak,32
448,industrial,32
449,independent,32
450,wise,32
451,degree,32
452,education,32
453,destiny,32
454,obligations,32
455,conduct,31
456,wish,31
457,tariff,31
458,objects,31
459,fathers,31
460,industry,31
461,discharge,31
462,powerful,31
463,equally,31
464,fail,31
465,dangers,31
466,clear,31
467,four,30
468,portion,30
469,different,30
470,selfgovernment,30
471,extent,30
472,fact,30
473,arms,30
474,happy,30
475,year,30
476,mr,30
477,due,30
478,sound,30
479,few,30
480,placed,30
481,small,30
482,extended,30
483,property,30
484,cooperation,30
485,carry,29
486,consideration,29
487,citizenship,29
488,feel,29
489,rather,29
490,ability,29
491,generations,29
492,election,29
493,advance,29
494,whatever,29
495,religious,29
496,position,29
497,want,29
498,often,29
499,personal,28
500,established,28
501,women,28
502,during,28
503,honorable,28
504,truth,28
505,away,28
506,humanity,28
507,presence,28
508,think,28
509,seen,28
510,growth,28
511,unity,28
512,single,28
513,set,28
514,beginning,28
515,reach,28
516,remain,28
517,neither,28
518,almighty,28
519,several,28
520,responsibilities,28
521,opinions,28
522,ideals,28
523,lead,28
524,determined,27
525,practical,27
526,enterprise,27
527,views,27
528,preserved,27
529,sacred,27
530,expression,27
531,feeling,27
532,vast,27
533,sovereignty,27
534,endeavor,27
535,provide,27
536,departments,27
537,back,27
538,enough,27
539,private,26
540,came,26
541,popular,26
542,turn,26
543,americas,26
544,legislative,26
545,demand,26
546,supreme,26
547,light,26
548,though,26
549,worlds,26
550,ready,26
551,patriotic,26
552,harmony,26
553,hearts,26
554,evil,26
555,mere,26
556,dignity,26
557,devotion,26
558,prevent,26
559,material,26
560,case,26
561,constant,26
562,accept,25
563,intercourse,25
564,cost,25
565,doubt,25
566,put,25
567,perfect,25
568,differences,25
569,honest,25
570,equality,25
571,down,25
572,serve,25
573,slavery,25
574,family,25
575,return,25
576,mutual,25
577,needs,25
578,peaceful,25
579,sacrifice,25
580,known,25
581,obligation,25
582,number,25
583,parts,25
584,individuals,24
585,keep,24
586,acts,24
587,credit,24
588,bear,24
589,communities,24
590,formed,24
591,secured,24
592,longer,24
593,forms,24
594,integrity,24
595,demands,24
596,leave,24
