home,Score
New Zealand A,227.0
Baluchistan,217.0
India A,214.0
Northerns (Zimbabwe),198.5
Port Qasim Authority,190.0
Pakistan A,189.0
Karachi Region Blues,185.0
Abbottabad Region,182.66666666666666
Brisbane Heat,181.42857142857142
Somerset,180.33333333333334
Lahore Qalandars,179.0
St Kitts and Nevis Patriots,178.2
Hyderabad Region,175.0
Hobart Hurricanes,174.72727272727272
Police Sports Club,174.0
Australia A,174.0
Dhaka Gladiators,172.66666666666666
Tamil Nadu,172.0
Abahani Limited,172.0
Queensland,170.14285714285714
Trinbago Knight Riders,170.0
Peshawar Region,170.0
Western Australia,169.875
Karachi Blues,169.5
Kings XI Punjab,169.25
Lahore Region Whites,169.0
Otago,169.0
Sialkot Stallions,169.0
North West,168.88888888888889
Khulna Royal Bengals,168.8
Dhaka Metropolis,168.5
Worcestershire,168.05882352941177
Victoria,167.41666666666666
Chennai Super Kings,167.34426229508196
Essex,167.3409090909091
Mumbai Indians,166.9090909090909
Wellington,166.35294117647058
Bangladesh A,166.0
Central Districts,165.9090909090909
Nottinghamshire,165.47058823529412
Lahore Eagles,165.07692307692307
Western Troopers,165.0
Abbottabad Rhinos,165.0
Hyderabad (India),164.33333333333334
Auckland,164.25714285714287
Royal Challengers Bangalore,163.95744680851064
Rawalpindi Rams,163.66666666666666
South Australia,163.375
Adelaide Strikers,163.11111111111111
Northamptonshire,163.0810810810811
Sialkot Region,163.0
Lahore Whites,162.66666666666666
Chittagong Vikings,162.5
Northern Cape,162.33333333333334
Canterbury,161.9
Hampshire,161.79591836734693
Colombo Cricket Club,161.75
Sri Lanka,161.52941176470588
Tasmania,161.28571428571428
Zimbabwe,161.0
Karachi Whites,161.0
Gujarat Lions,161.0
Sydney Thunder,160.75
Hyderabad Hawks,160.28571428571428
Zimbabwe XI,160.0
Northern Districts,159.875
Nondescripts Cricket Club,159.55555555555554
Lahore Lions,159.52631578947367
South Africa,159.5185185185185
Karachi Zebras,159.11111111111111
Chittagong Kings,159.1
Udarata Rulers,159.0
Mountaineers,158.85714285714286
Mashonaland Eagles,158.2941176470588
Sinhalese Sports Club,158.25
Uthura Yellows,158.0
Yorkshire,158.0
Namibia,158.0
Warwickshire,157.925
England,157.76470588235293
Barisal Bulls,157.75
Colts Cricket Club,157.55555555555554
Sydney Sixers,157.54545454545453
Kent,157.525
Sussex,157.33333333333334
Dolphins,157.17857142857142
Rajasthan Royals,156.4102564102564
Leicestershire,156.27027027027026
Kandy Crusaders,156.0
Wayamba United,156.0
Uthura Rudras,156.0
Combined Provinces,156.0
Surrey,155.7906976744186
Chilaw Marians Cricket Club,155.75
Tamil Union Cricket and Athletic Club,155.625
Perth Scorchers,155.52941176470588
Titans,155.475
Durham,155.37142857142857
Cape Cobras,155.15384615384616
Delhi Daredevils,155.0
Kandurata Warriors,155.0
Badureliya Sports Club,155.0
Colombo Commandos,155.0
Knights,154.9090909090909
Goa,154.9
Australia,154.78787878787878
Bengal,154.76
Barisal Burners,154.72727272727272
Gloucestershire,154.63636363636363
Bahawalpur Region,154.6
Karachi Kings,154.5
Lancashire,154.05769230769232
Lions,154.02702702702703
Mumbai,154.0
Deccan Chargers,153.92307692307693
Gujarat,153.84615384615384
Trinidad & Tobago Red Steel,153.8181818181818
Mid West Rhinos,153.42857142857142
Pakistan,153.42105263157896
Antigua and Barbuda,153.0
New Zealand,152.5
Rajasthan,152.45454545454547
Eagles,152.08333333333334
Jamaica Tallawahs,151.8125
Western Province,151.5
Uttar Pradesh,151.14285714285714
Islamabad,151.0
Pune Warriors,151.0
Free State,150.9
Melbourne Stars,150.86666666666667
Middlesex,150.66666666666666
Ragama Cricket Club,150.625
Ruhuna,150.625
Islamabad United,149.85714285714286
Faisalabad Wolves,149.58620689655172
Bermuda,149.5
Duronto Rajshahi,149.4
England Lions,149.33333333333334
Sunrisers Hyderabad,149.1764705882353
Bahawalpur Stags,149.16666666666666
Prime Bank Cricket Club,149.0
Baroda,148.71428571428572
Easterns,148.33333333333334
India,148.1818181818182
Kurunegala Youth Cricket Club,148.0
Barbados Tridents,147.6153846153846
Multan Region,147.5
St Lucia Zouks,146.83333333333334
Boland,146.57142857142858
Kolkata Knight Riders,146.57142857142858
Derbyshire,146.57142857142858
Odisha,146.5
Quetta Gladiators,146.0
Peshawar Panthers,146.0
Antigua,146.0
Kenya,146.0
Khyber Pakhtunkhwa,146.0
Delhi,145.93939393939394
Afghanistan,145.5609756097561
Glamorgan,145.3548387096774
Galle Guardians,145.33333333333334
Bangladesh,145.13333333333333
Warriors,145.0857142857143
Peshawar Zalmi,145.0
Ruhuna Royals,145.0
Maharashtra,144.875
Moors Sports Club,144.85714285714286
Easterns (Zimbabwe),144.25
Saurashtra,144.0
Kurunegala Warriors,143.5
Sri Lanka Air Force Sports Club,143.0
Pakistan Television,143.0
Kerala,143.0
Madhya Pradesh,142.5909090909091
Saracens Sports Club,142.5
Larkana Region,142.0
Melbourne Renegades,142.0
Basnahira,141.66666666666666
Kandurata,141.66666666666666
Trinidad & Tobago,141.2
Netherlands,141.07692307692307
Railways,140.92307692307693
Orissa,140.66666666666666
Scotland,140.6
Sri Lanka A,140.375
Stanford Superstars,140.0
Peshawar,140.0
FATA Cheetas,140.0
Pakistan International Airlines,139.75
Basnahira South,139.75
Guyana,139.57142857142858
Federally Administered Tribal Areas,139.5
Abbottabad Falcons,139.45454545454547
Habib Bank Limited,139.4
United Arab Emirates,139.08333333333334
Basnahira Greens,139.0
Sebastianites Cricket and Athletic Club,139.0
Assam,139.0
Matabeleland Tuskers,139.0
Comilla Victorians,138.85714285714286
Dhaka Dynamites,138.8
Griqualand West,138.44444444444446
Himachal Pradesh,138.23076923076923
Haryana,138.15
Rangpur Riders,137.88888888888889
New South Wales,137.5
