YEAR,STATE,AVERAGE_WAGE
2011,CALIFORNIA,85121.69638537284
2012,CALIFORNIA,68718.42816878292
2013,CALIFORNIA,70320.41742588449
2014,CALIFORNIA,71165.7942376072
2015,CALIFORNIA,72966.36693005166
2016,CALIFORNIA,97001.09023309253
2011,ILLINOIS,79761.98445522595
2012,ILLINOIS,68619.73108704927
2013,ILLINOIS,70294.81295355107
2014,ILLINOIS,71255.24206596502
2015,ILLINOIS,72580.21414590666
2016,ILLINOIS,92962.39547632419
2011,NEW JERSEY,82292.8190095809
2012,NEW JERSEY,68072.81709335913
2013,NEW JERSEY,69877.91271652922
2014,NEW JERSEY,70867.22318454248
2015,NEW JERSEY,71634.87338710217
2016,NEW JERSEY,91324.05551142523
2011,NEW YORK,73820.17511104702
2012,NEW YORK,71987.92500621369
2013,NEW YORK,79419.45858622073
2014,NEW YORK,71414.77266656944
2015,NEW YORK,76229.45033656928
2016,NEW YORK,96888.62845981789
2011,TEXAS,71895.88930869466
2012,TEXAS,73323.4615339612
2013,TEXAS,85485.95340966445
2014,TEXAS,70982.32741012768
2015,TEXAS,72278.71458336007
2016,TEXAS,92831.28780312208
