YEAR,EMPLOYER_NAME,COUNT
2011,ACCENTURE LLP,295
2012,ACCENTURE LLP,1143
2013,ACCENTURE LLP,2198
2014,ACCENTURE LLP,2469
2015,ACCENTURE LLP,4123
2016,ACCENTURE LLP,2572
2011,COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,895
2012,COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,770
2013,COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,608
2014,COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,978
2015,COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,1428
2016,COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,895
2011,DELOITTE CONSULTING LLP,939
2012,DELOITTE CONSULTING LLP,2007
2013,DELOITTE CONSULTING LLP,2582
2014,DELOITTE CONSULTING LLP,3101
2015,DELOITTE CONSULTING LLP,3369
2016,DELOITTE CONSULTING LLP,2061
2011,ERNST & YOUNG U.S. LLP,439
2012,ERNST & YOUNG U.S. LLP,980
2013,ERNST & YOUNG U.S. LLP,952
2014,ERNST & YOUNG U.S. LLP,1522
2015,ERNST & YOUNG U.S. LLP,1817
2016,ERNST & YOUNG U.S. LLP,1179
2011,"HCL AMERICA, INC.",418
2012,"HCL AMERICA, INC.",896
2013,"HCL AMERICA, INC.",1327
2014,"HCL AMERICA, INC.",2078
2015,"HCL AMERICA, INC.",2666
2016,"HCL AMERICA, INC.",1258
2011,IBM INDIA PRIVATE LIMITED,232
2012,IBM INDIA PRIVATE LIMITED,1346
2013,IBM INDIA PRIVATE LIMITED,1258
2014,IBM INDIA PRIVATE LIMITED,1807
2015,IBM INDIA PRIVATE LIMITED,4057
2016,IBM INDIA PRIVATE LIMITED,1424
2012,INFOSYS LIMITED,6791
2013,INFOSYS LIMITED,14409
2014,INFOSYS LIMITED,10464
2015,INFOSYS LIMITED,14932
2016,INFOSYS LIMITED,5206
2011,MICROSOFT CORPORATION,1129
2012,MICROSOFT CORPORATION,1658
2013,MICROSOFT CORPORATION,1481
2014,MICROSOFT CORPORATION,1349
2015,MICROSOFT CORPORATION,1744
2016,MICROSOFT CORPORATION,2009
2011,TATA CONSULTANCY SERVICES LIMITED,923
2012,TATA CONSULTANCY SERVICES LIMITED,2898
2013,TATA CONSULTANCY SERVICES LIMITED,3919
2014,TATA CONSULTANCY SERVICES LIMITED,6306
2015,TATA CONSULTANCY SERVICES LIMITED,7440
2016,TATA CONSULTANCY SERVICES LIMITED,1001
2011,WIPRO LIMITED,52
2012,WIPRO LIMITED,2997
2013,WIPRO LIMITED,2903
2014,WIPRO LIMITED,3269
2015,WIPRO LIMITED,4637
2016,WIPRO LIMITED,2052
