JOB_TITLE,PREVAILING_WAGE
ADVISORY SENIOR,73448.82185526955
COMPUTER PROGRAMMER,61147.03073463268
COMPUTER PROGRAMMER/CONFIGURER 2,68103.90237042989
CONSULTANT,65237.921998508566
CONSULTANT - US,73380.0535608798
DEVELOPER,65028.41135371179
LEAD ENGINEER,69311.96668472372
MANAGER,95550.08176956726
PROGRAMMER ANALYST,64627.911839708526
PROJECT MANAGER,78385.87563427477
PROJECT MANAGER - US,87454.09849696227
SENIOR CONSULTANT,77500.26643796456
SOFTWARE ENGINEER,94950.83193473193
SYSTEMS ENGINEER - US,52953.8481081081
TECHNICAL TEST LEAD - US,66701.49976558845
TECHNOLOGY ANALYST - US,58301.066595358076
TECHNOLOGY ARCHITECT - US,84042.7922152809
TECHNOLOGY LEAD - US,73960.97444520192
TEST ANALYST - US,50078.94457831334
WEB DEVELOPER,56718.92493175614
