Word,Amount
said,83561
power,77570
enron,73947
california,60209
energy,59462
state,54131
would,47259
company,45450
new,36138
million,33314
electricity,31584
market,30860
jeff,29792
also,26043
gas,25541
may,25199
http,24058
price,22314
prices,21538
ees,21490
davis,21298
business,21273
pm,21245
one,21026
could,20913
e,19560
companies,19243
utilities,19209
customers,18554
commission,18505
year,18157
last,17795
time,17497
billion,17204
president,16793
please,16765
utility,16094
get,16013
san,15587
ferc,15479
two,15360
service,14849
first,14701
bill,14541
call,14045
pg,13920
information,13911
public,13734
edison,13595
services,13517
firm,13494
group,13345
plan,13169
rate,12860
use,12823
week,12579
meeting,12504
ect,12435
like,12402
news,12391
sent,12388
federal,12232
jones,12064
make,12034
percent,11988
message,11929
electric,11773
us,11750
board,11685
capital,11651
know,11597
much,11447
round,11423
dow,11111
best,10980
need,10976
contracts,10941
plants,10895
governor,10890
times,10722
costs,10663
next,10613
generators,10503
today,10372
rates,10183
take,10169
copyright,10100
crisis,10087
dasovich,10086
government,10013
see,10009
order,9991
committee,9958
years,9932
financial,9860
partners,9689
iso,9573
technology,9522
thanks,9469
natural,9329
system,9323
communications,9307
monday,9289
pay,9181
management,9148
access,9143
ca,9111
bush,9108
per,9078
plant,9073
day,8994
people,8982
project,8956
think,8953
going,8890
back,8832
industry,8729
cost,8690
investors,8687
issue,8684
wholesale,8538
want,8532
says,8517
help,8482
since,8440
demand,8426
work,8414
including,8366
summer,8320
deal,8308
still,8298
high,8296
markets,8248
even,8214
investment,8137
well,8130
say,8108
supply,8095
issues,8080
many,8078
report,8065
go,8033
let,7993
made,7926
three,7925
provide,7920
staff,7910
trading,7905
office,7862
conference,7826
development,7819
officials,7805
francisco,7720
sales,7606
puc,7575
stock,7541
venture,7529
thursday,7504
part,7468
friday,7463
chief,7382
attached,7374
way,7368
executive,7335
ceo,7237
wednesday,7210
generation,7172
tuesday,7171
india,7163
ventures,7157
top,7136
internet,7126
direct,7121
fund,7044
york,7000
money,6996
funding,6979
james,6978
regulatory,6963
june,6946
transmission,6926
consumers,6921
richard,6918
john,6911
good,6898
director,6852
end,6832
rights,6809
chairman,6703
general,6678
number,6674
c,6593
credit,6591
whether,6577
contract,6485
increase,6429
however,6429
april,6427
capacity,6407
senate,6400
months,6354
july,6283
press,6272
susan,6250
buy,6228
forward,6187
customer,6184
law,6171
agreement,6123
comments,6084
decision,6066
support,6055
case,6052
include,6048
questions,6027
states,6016
must,5976
marketing,5961
email,5956
online,5950
set,5949
available,5945
los,5936
exchange,5934
international,5883
expected,5845
angeles,5818
blackouts,5802
month,5784
vice,5782
program,5778
another,5764
sell,5751
date,5749
paul,5744
already,5743
mark,5738
received,5730
contact,5716
steve,5703
plans,5694
deregulation,5680
j,5665
software,5660
southern,5646
administration,5635
several,5612
current,5606
proposal,5595
mailto,5591
pacific,5590
days,5558
water,5550
right,5515
bankruptcy,5503
systems,5463
come,5459
according,5447
fax,5439
based,5436
data,5417
second,5386
proposed,5354
reserved,5276
used,5268
scott,5266
gov,5263
additional,5257
department,5230
told,5210
bills,5199
might,5189
washington,5156
policy,5145
br,5140
process,5104
venturewire,5099
less,5096
keep,5093
change,5085
cpuc,5085
review,5079
provider,5072
without,5036
b,5021
asked,5016
houston,4999
give,4970
street,4966
action,4963
former,4934
place,4929
court,4926
oil,4911
mike,4902
dwr,4895
sacramento,4891
web,4884
dabhol,4884
letter,4882
share,4881
michael,4865
world,4852
interest,4844
following,4841
long,4815
march,4809
possible,4804
due,4804
problem,4800
businesses,4795
higher,4790
put,4789
yesterday,4782
house,4774
continue,4773
raised,4758
members,4757
october,4755
working,4751
david,4751
past,4743
grid,4728
independent,4715
future,4710
far,4704
network,4676
diego,4673
major,4669
gray,4663
private,4641
robert,4634
site,4634
image,4631
line,4630
around,4630
large,4594
city,4570
meet,4549
file,4548
resources,4548
big,4544
political,4543
look,4542
send,4534
enronxgate,4522
unit,4518
local,4516
series,4513
within,4490
funds,4481
list,4461
needs,4451
find,4448
address,4439
debt,4425
amount,4411
problems,4378
enough,4377
january,4352
purchase,4352
phone,4348
caps,4339
likely,4337
national,4337
september,4334
filed,4313
consumer,4285
regulators,4285
shares,4271
sellers,4264
paid,4262
spokesman,4252
point,4246
product,4233
senior,4218
reuters,4213
november,4192
largest,4192
free,4191
least,4179
mail,4179
recent,4176
small,4162
associated,4159
called,4144
open,4143
early,4131
retail,4121
agency,4119
final,4089
assembly,4084
average,4084
cents,4075
hearing,4074
jim,4056
sdg,4041
draft,4039
able,4037
position,4032
team,4025
sure,4019
duke,4011
earlier,3965
sce,3959
yet,3959
home,3959
offer,3956
products,3955
haas,3951
discuss,3947
little,3945
announced,3940
tax,3930
got,3917
documents,3886
buying,3871
manager,3860
provides,3854
equity,3846
research,3828
suppliers,3824
lay,3814
believe,3811
judge,3809
cap,3789
karen,3789
cut,3786
texas,3777
move,3771
using,3742
others,3727
lower,3724
added,3719
better,3719
td,3716
conservation,3715
filing,3712
authority,3711
among,3710
notice,3706
given,3699
tomorrow,3693
legislature,3692
total,3668
sue,3667
request,3664
result,3651
joe,3635
mara,3634
economic,3629
assets,3627
control,3621
western,3619
global,3619
receive,3595
changes,3589
revenue,3585
officer,3583
response,3581
great,3577
