Word,Amount
vince,54109
enron,46742
ect,37012
please,24745
j,24417
pm,23763
would,22209
http,14208
energy,13732
thanks,12408
kaminski,12352
know,12258
research,11577
risk,11306
power,11304
time,11201
new,10976
may,10963
message,10399
group,9947
like,9869
let,9465
information,9344
also,8963
one,8600
meeting,8526
management,8211
us,8095
get,7929
communications,7754
sent,7482
market,7364
shirley,7363
need,7329
call,7247
houston,7217
business,7088
forward,7058
could,6941
conference,6670
email,6559
work,6484
week,6429
see,6269
john,6126
contact,6072
regards,5921
gas,5822
model,5697
look,5647
university,5642
company,5590
fax,5530
next,5476
year,5468
day,5441
attached,5426
make,5406
price,5315
thank,5276
finance,5262
best,5251
well,5236
help,5151
use,5113
think,5056
last,5048
shall,4962
phone,4946
stinson,4942
send,4860
project,4815
presentation,4740
friday,4724
dear,4682
take,4632
program,4620
trading,4594
available,4537
good,4525
markets,4523
free,4513
following,4504
date,4499
data,4352
options,4350
first,4309
financial,4276
two,4223
today,4217
office,4197
questions,4170
number,4166
received,4120
image,4106
vkamins,4023
go,4021
monday,3941
visit,3923
team,3915
credit,3899
london,3885
hope,3826
network,3823
services,3817
request,3782
want,3736
give,3735
prices,3727
much,3718
back,3710
resume,3702
find,3606
interested,3594
system,3570
april,3551
working,3547
list,3515
people,3497
school,3494
hi,3493
ees,3439
thursday,3420
world,3399
interview,3395
review,3349
address,3348
regarding,3263
weather,3251
derivatives,3237
mike,3209
kevin,3205
web,3164
service,3136
name,3121
many,3109
order,3088
process,3068
meet,3056
mailto,3055
way,3054
mark,3047
summer,3044
director,3028
department,3017
provide,3016
access,3016
david,2991
interest,2986
tuesday,2980
file,2971
wednesday,2968
december,2924
talk,2919
schedule,2910
industry,2903
pricing,2889
great,2851
per,2832
support,2828
zimin,2828
report,2809
issues,2788
discuss,2782
course,2779
morning,2768
said,2740
steve,2701
corp,2699
still,2680
set,2676
option,2675
years,2671
might,2649
copy,2647
march,2637
able,2628
possible,2604
state,2587
days,2586
going,2573
site,2573
california,2572
using,2569
offer,2555
electricity,2547
click,2543
however,2521
vasant,2515
companies,2508
internet,2504
martin,2497
north,2486
paper,2481
june,2462
comments,2448
soon,2444
since,2430
models,2429
position,2428
jeff,2426
issue,2425
book,2423
case,2417
enronxgate,2412
part,2397
opportunity,2391
analysis,2391
problem,2389
real,2384
vkaminski,2341
looking,2324
currently,2319
texas,2294
sure,2289
students,2274
var,2270
november,2267
come,2262
plan,2257
feel,2255
current,2221
note,2220
within,2211
version,2196
end,2195
another,2191
dinner,2190
details,2187
crenshaw,2181
technology,2181
july,2181
used,2180
global,2178
products,2173
based,2164
tanya,2162
professor,2154
right,2144
october,2140
made,2127
value,2120
appreciate,2106
software,2105
volatility,2104
future,2101
cost,2096
already,2091
attend,2071
development,2049
including,2043
e,2031
sincerely,2031
put,2024
grant,2020
changes,2019
receive,2010
tx,1996
include,1991
happy,1990
president,1978
together,1971
center,1971
natural,1963
event,1962
iris,1959
lunch,1946
different,1946
america,1937
respond,1934
given,1928
person,1926
news,1924
january,1914
home,1911
manager,1910
check,1907
online,1907
storage,1905
systems,1901
fyi,1900
additional,1890
julie,1884
due,1865
info,1864
id,1863
form,1856
change,1854
february,1853
chris,1847
michael,1836
place,1826
feedback,1818
job,1817
update,1807
technical,1802
w,1799
valuation,1788
ask,1786
experience,1766
several,1761
room,1760
hello,1759
rice,1757
managing,1754
oil,1752
curve,1746
august,1745
around,1737
full,1723
really,1719
high,1715
point,1714
paul,1709
capacity,1702
tom,1701
mail,1693
open,1693
contract,1692
rate,1690
even,1684
asked,1680
related,1680
user,1670
etc,1668
newsletter,1665
weeks,1655
try,1650
agreement,1644
important,1625
start,1618
whether,1615
long,1613
hotel,1612
seminar,1609
engineering,1608
area,1608
jim,1600
stanford,1599
product,1599
members,1591
better,1588
corporate,1587
latest,1581
security,1580
month,1579
deal,1576
r,1574
operations,1570
article,1566
employees,1565
class,1559
scheduled,1554
read,1550
york,1543
keep,1542
tomorrow,1540
richard,1538
capital,1534
sorry,1529
associate,1527
speaker,1518
resources,1518
ferc,1511
wharton,1506
needs,1501
must,1496
left,1494
bring,1492
wanted,1486
weekly,1485
electric,1482
three,1480
street,1478
cera,1474
page,1474
maureen,1469
results,1468
months,1464
level,1462
public,1462
join,1458
coming,1457
things,1457
discussion,1453
either,1452
type,1451
christie,1450
jones,1446
demand,1444
de,1444
bank,1441
alex,1440
general,1440
executive,1438
got,1430
follow,1427
application,1425
international,1421
austin,1420
focus,1417
believe,1408
graduate,1407
short,1405
wrote,1403
transmission,1401
anjam,1400
customers,1396
decision,1395
move,1389
tel,1387
board,1384
c,1379
filed,1377
key,1365
projects,1363
problems,1363
afternoon,1362
via,1361
performance,1357
dpc,1353
investment,1351
ca,1349
main,1347
supply,1346
opportunities,1346
lot,1341
bob,1340
without,1335
done,1331
second,1327
invitation,1326
getting,1322
september,1322
reply,1316
europe,1315
dates,1314
intended,1311
times,1311
american,1307
period,1303
customer,1300
employee,1297
return,1295
continue,1293
l,1292
something,1291
study,1290
