Rank,User_Id,Commnet_Amount
1,355880,94
2,12857582,88
3,37674938,67
4,57076816,65
5,12521884,64
6,35591703,62
7,26424636,61
8,64679318,44
9,63423891,42
10,239837,41
11,47123844,38
12,53612425,37
13,12582762,34
14,56780855,30
15,51878992,30
16,34677113,27
17,48996245,25
18,39601591,24
19,31713359,22
20,52131820,22
21,65110053,22
22,51284005,20
23,7239935,20
24,69450816,19
25,33888832,19
26,57353517,19
27,40249616,19
28,30393754,19
29,38331232,19
30,40118532,18
31,1258177,18
32,58504738,17
33,57179778,17
34,21817067,17
35,18391468,17
36,65278019,15
37,38719888,15
38,53909157,15
39,66581027,15
40,495283,15
41,57987015,14
42,62856899,14
43,40498339,14
44,11228992,14
45,44287968,14
46,7531892,14
47,1954665,13
48,19155409,13
49,9640850,13
50,60080684,13
51,31956435,13
52,57742567,12
53,21674888,12
54,62945206,12
55,73444633,12
56,42578635,12
57,27509781,11
58,48147869,11
59,53277592,11
60,52295183,11
61,47349721,11
62,65972486,11
63,37315322,10
64,49716641,10
65,57386867,10
66,47513080,10
67,55046144,10
68,63687177,10
69,29899499,10
70,62139528,10
71,25504325,10
72,60909833,10
73,69051443,10
74,67803200,9
75,60071401,9
76,3213486,9
77,63207005,9
78,60025659,9
79,57884580,9
80,36252727,9
81,65015308,9
82,67688814,9
83,56166904,9
84,5340020,9
85,34181869,9
86,72212632,9
87,48276181,9
88,77610440,9
89,15444060,8
90,73779863,8
91,61397772,8
92,8276026,8
93,65857033,8
94,16909680,8
95,67094475,8
96,63367016,8
97,66788641,8
98,62231823,8
99,829618,8
100,68499124,8
101,42850188,8
102,4153802,8
103,12167092,8
104,6608868,8
105,45513833,7
106,22739177,7
107,137495,7
108,53616761,7
109,57677228,7
110,72967915,7
111,55459139,7
112,70400381,7
113,7831295,7
114,57123959,7
115,68674923,7
116,22528152,7
117,41188,7
118,18777489,7
119,46958628,7
120,4985602,7
121,65312034,7
122,68481286,7
123,17374907,7
124,58923646,7
125,69994889,7
126,30315546,7
127,57529183,7
128,1948827,7
129,62490139,7
130,61073654,7
131,58303694,6
132,57712797,6
133,14749653,6
134,53754055,6
135,1425920,6
136,63544487,6
137,46916332,6
138,69758114,6
139,67230750,6
140,60790181,6
141,27056053,6
142,20454347,6
143,23130551,6
144,51905269,6
145,73928952,6
146,1735117,6
147,55084572,6
148,16045665,6
149,10369639,6
150,67664341,6
151,19971751,6
152,22564987,6
153,16500152,6
154,67045630,6
155,61559433,6
156,11145175,6
157,4009962,6
158,71506047,6
159,19493260,6
160,46954653,6
161,33159236,6
162,58565194,6
163,67491119,6
164,65281121,6
165,69344475,6
166,54518159,6
167,75733784,6
168,42008838,5
169,25719306,5
170,61718359,5
171,49315461,5
172,20119230,5
173,58146393,5
174,18855202,5
175,63210810,5
176,57645384,5
177,61339302,5
178,35186053,5
179,432006,5
180,62484831,5
181,8562342,5
182,70197753,5
183,8203131,5
184,48117818,5
185,6998114,5
186,52099086,5
187,4952842,5
188,56852144,5
189,1206955,5
190,21456951,5
191,59813027,5
192,35014462,5
193,66555774,5
194,42127533,5
195,21242913,5
196,8661728,5
197,61541717,5
198,49524027,5
199,38162082,5
200,75106,5
201,71578093,5
202,67498428,5
203,37475504,5
204,73318075,5
205,30644652,5
206,57968201,5
207,28617892,5
208,60734867,5
209,32195826,5
210,22837994,5
211,607947,5
212,63462973,5
213,68733629,5
214,69180713,5
215,4172229,5
216,46850779,5
217,142381,5
218,67454483,5
219,65473398,5
220,46920789,5
221,68588887,5
222,63543878,5
223,55127046,5
224,69131366,5
225,5840605,5
226,67347041,5
227,36613260,5
228,75916881,5
229,67892453,5
230,32779154,5
231,49817195,5
232,73686429,5
233,48894622,5
234,3985142,5
235,4596348,5
236,72915045,5
237,77496184,5
238,65649821,5
239,65431352,5
240,13327168,4
241,11923127,4
242,18426496,4
243,4348749,4
244,59697229,4
245,19763522,4
246,60594370,4
247,50228091,4
248,66946004,4
249,17594760,4
250,44275145,4
251,70238197,4
252,57566172,4
253,63738877,4
254,52739184,4
255,60339062,4
256,14762948,4
257,56780323,4
